"","ENSEMBL","SYMBOL","ENTREZID"
"1","FBgn0265074","lncRNA:CR44185","14462644"
"2","FBgn0265075","lncRNA:CR44186","14462645"
"3","FBgn0053635","CG33635","3772540"
"4","FBgn0263465","snoRNA:kis-a","12797868"
"5","FBgn0262252","mir-965","12797869"
"6","FBgn0267995","asRNA:CR46262","26067572"
"7","FBgn0031254","CG13692","33216"
"8","FBgn0031263","Tspo","33231"
"9","FBgn0031268","cold","33237"
"10","FBgn0031284","PGAP2","33258"
"11","FBgn0031312","Tango14","33298"
"12","FBgn0031314","IntS14","33300"
"13","FBgn0031351","CG14352","33341"
"14","FBgn0051943","tRNA:Gln-CTG-2-2","3772350"
"15","FBgn0051669","tRNA:Gln-CTG-2-5","3772558"
"16","FBgn0011860","tRNA:Gly-GCC-1-2","3772114"
"17","FBgn0259230","lectin-22C","7354375"
"18","FBgn0031391","CG11723","33388"
"19","FBgn0031395","CG10874","33394"
"20","FBgn0266317","asRNA:CR44982","19835859"
"21","FBgn0026778","Rad1","33440"
"22","FBgn0053125","CG33125","318892"
"23","FBgn0265997","lncRNA:CR44772","19836120"
"24","FBgn0243513","cnir","33520"
"25","FBgn0031518","CG3277","33543"
"26","FBgn0021967","ND-PDSW","44228"
"27","FBgn0051776","CG31776","33568"
"28","FBgn0014396","tim","33571"
"29","FBgn0263523","mir-4972","12798548"
"30","FBgn0259953","Sfp24Bd","8674028"
"31","FBgn0031559","CG3513","33590"
"32","FBgn0266319","asRNA:CR44984","19835330"
"33","FBgn0265908","lncRNA:CR44697","19836217"
"34","FBgn0031607","Secp43","33652"
"35","FBgn0031651","mRpL24","33703"
"36","FBgn0015834","eIF3i","33710"
"37","FBgn0031677","CG14036","33735"
"38","FBgn0266829","lncRNA:CR45291","19836150"
"39","FBgn0261608","RpL37A","44783"
"40","FBgn0065104","sncRNA:158","3772042"
"41","FBgn0015031","cype","46040"
"42","FBgn0031700","CG14022","33763"
"43","FBgn0051648","Cox11","33776"
"44","FBgn0031775","CG9150","33856"
"45","FBgn0086357","Sec61alpha","33905"
"46","FBgn0031873","Gas41","33973"
"47","FBgn0031876","Atac1","33977"
"48","FBgn0031961","CG7102","34079"
"49","FBgn0267488","Mcr","44071"
"50","FBgn0031998","SLC5A11","34117"
"51","FBgn0264951","lncRNA:CR44120","14462723"
"52","FBgn0263852","Dad1","34159"
"53","FBgn0020497","emb","34167"
"54","FBgn0051896","tRNA:Asp-GTC-1-2","3772570"
"55","FBgn0264340","CG43796","14462726"
"56","FBgn0032047","CG13088","34180"
"57","FBgn0032051","CG13097","34184"
"58","FBgn0052983","CG32983","50434"
"59","FBgn0265827","lncRNA:CR44616","19836023"
"60","FBgn0032101","CG9586","34241"
"61","FBgn0063389","snoRNA:Me18S-G1620","3772137"
"62","FBgn0032160","CG4598","34315"
"63","FBgn0266359","asRNA:CR45007","19836133"
"64","FBgn0004419","me31B","34364"
"65","FBgn0032200","CG5676","34368"
"66","FBgn0259482","Mob3","34372"
"67","FBgn0032205","CG4957","34374"
"68","FBgn0260749","Utx","34377"
"69","FBgn0032228","CG5367","34401"
"70","FBgn0032230","lft","34405"
"71","FBgn0051718","Ir31a","318912"
"72","FBgn0032251","Nse4","34434"
"73","FBgn0032282","CG7299","34468"
"74","FBgn0032294","Vha16-5","34482"
"75","FBgn0015756","RpL9","34526"
"76","FBgn0250837","dUTPase","34529"
"77","FBgn0265673","lncRNA:CR44480","19835832"
"78","FBgn0032377","CG14937","34591"
"79","FBgn0032390","dgt2","34610"
"80","FBgn0028707","Mt2","34632"
"81","FBgn0032420","CG6583","34645"
"82","FBgn0265808","lncRNA:CR44597","19835327"
"83","FBgn0032455","Pih1D1","34685"
"84","FBgn0024291","Sirt1","34708"
"85","FBgn0032475","Sfmbt","34709"
"86","FBgn0032488","CG16812","34722"
"87","FBgn0032509","CG6523","34745"
"88","FBgn0032511","ND-B22","34747"
"89","FBgn0032514","CG9302","34750"
"90","FBgn0032516","Ing5","34752"
"91","FBgn0267244","lncRNA:CR45684","19836022"
"92","FBgn0028931","CG16863","34784"
"93","FBgn0004407","PolG2","3772064"
"94","FBgn0001967","NimC3","48772"
"95","FBgn0000055","Adh","3771877"
"96","FBgn0028894","GMF","34963"
"97","FBgn0028525","c(2)M","34964"
"98","FBgn0040984","CG4440","50458"
"99","FBgn0263555","mir-4943","12798234"
"100","FBgn0086038","snoRNA:Me28S-C1237","5740145"
"101","FBgn0051815","CG31815","318959"
"102","FBgn0051807","CG31807","318953"
"103","FBgn0051812","Tsen2","318956"
"104","FBgn0262398","mir-124","12797995"
"105","FBgn0265906","lncRNA:CR44695","19835101"
"106","FBgn0032703","CG10343","35127"
"107","FBgn0265954","lncRNA:CR44741","19835741"
"108","FBgn0086446","DCTN6-p27","35195"
"109","FBgn0065096","sncRNA:359","3772263"
"110","FBgn0032791","CG18094","35232"
"111","FBgn0027949","msb1l","35254"
"112","FBgn0032835","CG16772","35281"
"113","FBgn0032847","Taf13","35297"
"114","FBgn0016054","phr6-4","35322"
"115","FBgn0284223","CG46307","30522396"
"116","FBgn0284230","CG46314","30522403"
"117","FBgn0262620","lncRNA:CR43144","19834780"
"118","FBgn0266225","lncRNA:CR44920","19835731"
"119","FBgn0266221","lncRNA:CR44916","19836108"
"120","FBgn0266044","lncRNA:CR44809","19836112"
"121","FBgn0264909","lncRNA:CR44100","14462535"
"122","FBgn0033021","CG10417","35492"
"123","FBgn0033028","hrm","35499"
"124","FBgn0267028","lncRNA:CR45472","19835066"
"125","FBgn0266580","Gp210","35512"
"126","FBgn0033048","CG7881","35521"
"127","FBgn0264958","lncRNA:CR44127","14462544"
"128","FBgn0011890","tRNA:Lys-CTT-1-5","3772118"
"129","FBgn0266518","Dpit47","35565"
"130","FBgn0033104","CG15237","35591"
"131","FBgn0022224","ubl","35592"
"132","FBgn0025185","az2","35682"
"133","FBgn0033186","CG1602","35684"
"134","FBgn0263558","mir-4980","12798090"
"135","FBgn0033233","Kdm4A","35744"
"136","FBgn0050363","cola","246566"
"137","FBgn0033322","CG8584","35856"
"138","FBgn0021825","DCTN2-p50","44086"
"139","FBgn0004921","Ggamma1","35881"
"140","FBgn0265301","lncRNA:CR44274","19836145"
"141","FBgn0033357","Tom7","35899"
"142","FBgn0033372","CG13742","35916"
"143","FBgn0033389","Rad51D","35937"
"144","FBgn0266486","CG45085","19834931"
"145","FBgn0016970","l(2)k10201","48373"
"146","FBgn0050000","GstT1","35995"
"147","FBgn0054033","CG34033","3885602"
"148","FBgn0265339","asRNA:CR44293","19836033"
"149","FBgn0265341","lncRNA:CR44295","19834746"
"150","FBgn0013435","Cdc2rk","36051"
"151","FBgn0033497","CG12912","36075"
"152","FBgn0283625","CG46298","36091"
"153","FBgn0033518","Prx2540-2","36098"
"154","FBgn0265347","lncRNA:CR44301","19834883"
"155","FBgn0050018","mthl13","246395"
"156","FBgn0033554","Lsm10","36141"
"157","FBgn0050016","CG30016","246393"
"158","FBgn0033564","Pex6","3772165"
"159","FBgn0015582","dare","36203"
"160","FBgn0033614","Obp47b","36207"
"161","FBgn0011987","tRNA:SeC-TCA-1-1","3771925"
"162","FBgn0033635","Prip","36237"
"163","FBgn0265363","asRNA:CR44304","19834903"
"164","FBgn0259985","Mppe","36285"
"165","FBgn0010339","128up","36288"
"166","FBgn0026176","SkpB","36298"
"167","FBgn0040759","CG13177","5740215"
"168","FBgn0262889","CG43244","12798420"
"169","FBgn0033741","CG8545","36365"
"170","FBgn0266817","lncRNA:CR45279","19834777"
"171","FBgn0033756","CG17760","36385"
"172","FBgn0033806","FLASH","36455"
"173","FBgn0033807","AQP","36456"
"174","FBgn0264539","lncRNA:CR43918","14462583"
"175","FBgn0033836","CG18278","36487"
"176","FBgn0011881","tRNA:Ile-AAT-1-3","3772043"
"177","FBgn0011885","tRNA:Ile-AAT-1-7","3772404"
"178","FBgn0050065","CG30065","246431"
"179","FBgn0033906","ReepB","36569"
"180","FBgn0262407","mir-308","12798452"
"181","FBgn0033945","CG12868","36620"
"182","FBgn0053469","CG33469","2768832"
"183","FBgn0050476","ave","246638"
"184","FBgn0013773","Cyp6a22","49847"
"185","FBgn0013772","Cyp6a8","36666"
"186","FBgn0034002","CG8079","36689"
"187","FBgn0266636","asRNA:CR45143","19835114"
"188","FBgn0015247","Diap2","36748"
"189","FBgn0050095","CG30095","246453"
"190","FBgn0050099","CG30099","36818"
"191","FBgn0050100","CG30100","246457"
"192","FBgn0259718","CG42372","7354379"
"193","FBgn0034137","CG4945","36850"
"194","FBgn0085489","CG34460","5740316"
"195","FBgn0265659","lncRNA:CR44466","19836066"
"196","FBgn0034162","CG6426","36891"
"197","FBgn0262568","CG43108","12798329"
"198","FBgn0024196","robl","36963"
"199","FBgn0028382","cyp33","36984"
"200","FBgn0010409","RpL18A","36985"
"201","FBgn0034243","Ns2","36989"
"202","FBgn0050105","CG30105","246459"
"203","FBgn0050333","tRNA:Phe-GAA-1-4","3772089"
"204","FBgn0034255","Oxp","37002"
"205","FBgn0265577","IBIN","19835457"
"206","FBgn0260764","CG42562","37008"
"207","FBgn0034325","CG18539","37096"
"208","FBgn0034328","BomBc1","37099"
"209","FBgn0003067","Pepck1","37131"
"210","FBgn0261587","CG42697","10178822"
"211","FBgn0034403","CG18190","37179"
"212","FBgn0041702","CG15107","59128"
"213","FBgn0034426","AANATL5","37210"
"214","FBgn0267587","asRNA:CR45925","26067253"
"215","FBgn0040273","Spt5","53442"
"216","FBgn0265665","lncRNA:CR44472","19836153"
"217","FBgn0261807","CG42753","10178923"
"218","FBgn0046880","Obp56b","37265"
"219","FBgn0262334","mir-992","12798132"
"220","FBgn0263741","CG43666","14462614"
"221","FBgn0067905","Dso2","3885603"
"222","FBgn0034572","CG9346","37381"
"223","FBgn0050209","tRNA:Trp-CCA-2-6","3772714"
"224","FBgn0050392","CG30392","246587"
"225","FBgn0034617","Panx","37434"
"226","FBgn0034628","Acox57D-p","37445"
"227","FBgn0069056","CG33226","2768859"
"228","FBgn0041239","Gr58a","117344"
"229","FBgn0050280","CG30280","37522"
