,ENSEMBL,SYMBOL,ENTREZID
1,FBgn0265075,lncRNA:CR44186,14462645
2,FBgn0031254,CG13692,33216
3,FBgn0031273,CG2839,33244
4,FBgn0031284,PGAP2,33258
5,FBgn0031314,IntS14,33300
6,FBgn0031356,CG17660,33347
7,FBgn0000579,Eno,33351
8,FBgn0264882,lncRNA:CR44073,14462662
9,FBgn0051669,tRNA:Gln-CTG-2-5,3772558
10,FBgn0267378,sau,33402
11,FBgn0031436,ND-B17.2,33443
12,FBgn0028398,Taf10,33469
13,FBgn0243513,cnir,33520
14,FBgn0263847,snRNA:LU,14462681
15,FBgn0021967,ND-PDSW,44228
16,FBgn0014396,tim,33571
17,FBgn0031546,CG8851,33575
18,FBgn0051955,CG31955,319045
19,FBgn0051958,CR31958,33603
20,FBgn0265908,lncRNA:CR44697,19836217
21,FBgn0031603,CG15432,33647
22,FBgn0264742,CG44000,14462701
23,FBgn0261608,RpL37A,44783
24,FBgn0065104,sncRNA:158,3772042
25,FBgn0031776,Pfdn1,33857
26,FBgn0031873,Gas41,33973
27,FBgn0031961,CG7102,34079
28,FBgn0031980,RpL36A,34098
29,FBgn0261830,CG42762,10178795
30,FBgn0031998,SLC5A11,34117
31,FBgn0264951,lncRNA:CR44120,14462723
32,FBgn0263852,Dad1,34159
33,FBgn0015583,Acp29AB,34162
34,FBgn0020497,emb,34167
35,FBgn0027490,D12,34172
36,FBgn0032057,CG9287,34194
37,FBgn0051709,CG31709,261620
38,FBgn0063389,snoRNA:Me18S-G1620,3772137
39,FBgn0032193,CG5727,34356
40,FBgn0004419,me31B,34364
41,FBgn0259482,Mob3,34372
42,FBgn0032205,CG4957,34374
43,FBgn0032221,Schip1,34393
44,FBgn0032228,CG5367,34401
45,FBgn0032230,lft,34405
46,FBgn0051718,Ir31a,318912
47,FBgn0032250,holn1,34432
48,FBgn0032282,CG7299,34468
49,FBgn0265673,lncRNA:CR44480,19835832
50,FBgn0040968,CG14933,50442
51,FBgn0032390,dgt2,34610
52,FBgn0032398,CG6766,34619
53,FBgn0032404,RpL7-like,34625
54,FBgn0032420,CG6583,34645
55,FBgn0262203,mir-967,12798167
56,FBgn0265808,lncRNA:CR44597,19835327
57,FBgn0032447,PICK1,34677
58,FBgn0266307,asRNA:CR44972,19836069
59,FBgn0032509,CG6523,34745
60,FBgn0032516,Ing5,34752
61,FBgn0015271,Orc5,34794
62,FBgn0266145,lncRNA:CR44851,19835363
63,FBgn0284225,CG46309,30522398
64,FBgn0040984,CG4440,50458
65,FBgn0263555,mir-4943,12798234
66,FBgn0086038,snoRNA:Me28S-C1237,5740145
67,FBgn0053552,CG33552,3346220
68,FBgn0266310,asRNA:CR44975,19835821
69,FBgn0054051,CG34051,3885660
70,FBgn0032858,CG10949,35310
71,FBgn0266044,lncRNA:CR44809,19836112
72,FBgn0265254,lncRNA:CR44268,19835105
73,FBgn0032997,CG17486,3355138
74,FBgn0040005,CG17883,3355139
75,FBgn0039994,conu,3355133
76,FBgn0026238,gus,35478
77,FBgn0033048,CG7881,35521
78,FBgn0011931,tRNA:Asn-GTT-1-6,3772465
79,FBgn0011890,tRNA:Lys-CTT-1-5,3772118
80,FBgn0033104,CG15237,35591
81,FBgn0022224,ubl,35592
82,FBgn0066292,CheB42c,2768715
83,FBgn0263529,mir-4977,12798082
84,FBgn0266859,lncRNA:CR45320,19835743
85,FBgn0033191,CG1598,35690
86,FBgn0033214,CG1941,35718
87,FBgn0263558,mir-4980,12798090
88,FBgn0021995,Rs1,44087
89,FBgn0050359,Mal-A5,35828
90,FBgn0021825,DCTN2-p50,44086
91,FBgn0004921,Ggamma1,35881
92,FBgn0033347,CG8248,35888
93,FBgn0265301,lncRNA:CR44274,19836145
94,FBgn0033372,CG13742,35916
95,FBgn0033389,Rad51D,35937
96,FBgn0266486,CG45085,19834931
97,FBgn0028473,Non1,35963
98,FBgn0016970,l(2)k10201,48373
99,FBgn0285949,RpL31,35988
100,FBgn0265339,asRNA:CR44293,19836033
101,FBgn0033460,Sec24AB,36025
102,FBgn0033500,Csgalnact,36079
103,FBgn0033518,Prx2540-2,36098
104,FBgn0265347,lncRNA:CR44301,19834883
105,FBgn0262412,mir-1008,12798402
106,FBgn0010357,betaTry,47901
107,FBgn0033635,Prip,36237
108,FBgn0050254,tRNA:Arg-TCT-1-1,3772498
109,FBgn0265374,lncRNA:CR44315,19835831
110,FBgn0033742,Nepl10,36366
111,FBgn0266817,lncRNA:CR45279,19834777
112,FBgn0028683,spt4,36387
113,FBgn0020370,TppII,36444
114,FBgn0033806,FLASH,36455
115,FBgn0033836,CG18278,36487
116,FBgn0011881,tRNA:Ile-AAT-1-3,3772043
117,FBgn0011885,tRNA:Ile-AAT-1-7,3772404
118,FBgn0083006,snoRNA:Psi28S-1153,5740719
119,FBgn0263459,snoRNA:2R:9445410,12798444
120,FBgn0033889,CG6701,36550
121,FBgn0085472,CG34443,5740580
122,FBgn0050073,Obp50b,246435
123,FBgn0033945,CG12868,36620
124,FBgn0083123,Uhg5,8673975
125,FBgn0013772,Cyp6a8,36666
126,FBgn0040747,CG12853,50220
127,FBgn0034002,CG8079,36689
128,FBgn0265177,CG44242,19836175
129,FBgn0050099,CG30099,36818
130,FBgn0259718,CG42372,7354379
131,FBgn0265530,lncRNA:CR44380,19834916
132,FBgn0265659,lncRNA:CR44466,19836066
133,FBgn0034176,ste24a,36908
134,FBgn0265538,CG44388,19834768
135,FBgn0266812,lncRNA:CR45274,19834803
136,FBgn0034277,OstDelta,37029
137,FBgn0260392,CG42518,8674039
138,FBgn0262838,BomT1,12798334
139,FBgn0003067,Pepck1,37131
140,FBgn0041702,CG15107,59128
141,FBgn0034426,AANATL5,37210
142,FBgn0267587,asRNA:CR45925,26067253
143,FBgn0263464,snoRNA:hts-a,12798346
144,FBgn0265702,asRNA:CR44509,19836154
145,FBgn0011850,tRNA:Glu-TTC-1-4,3772503
146,FBgn0003114,plu,44848
147,FBgn0010411,RpS18,37292
148,FBgn0034521,Mgat1,37323
149,FBgn0263741,CG43666,14462614
150,FBgn0011674,insc,37355
151,FBgn0067905,Dso2,3885603
152,FBgn0026582,Hmg-2,37407
153,FBgn0261067,LSm1,37413
154,FBgn0053539,tRNA:Trp-CCA-2-5,3772429
155,FBgn0050392,CG30392,246587
156,FBgn0050285,CG30285,246528
157,FBgn0260223,CG42497,8674071
158,FBgn0265979,lncRNA:CR44758,19834984
159,FBgn0085475,CG34446,5740549
160,FBgn0265983,lncRNA:CR44762,19836051
161,FBgn0034769,Obp58c,37608
162,FBgn0050275,CG30275,246522
163,FBgn0034814,CG9890,37659
164,FBgn0045483,Gr59a,117485
165,FBgn0265053,asRNA:CR44168,14462626
166,FBgn0040660,CG13551,50133
167,FBgn0260762,CG42560,8674067
168,FBgn0067903,IM18,3772138
169,FBgn0260455,CG10332,37735
170,FBgn0023170,RpL39,37849
171,FBgn0034973,CG13564,37855
172,FBgn0266073,lncRNA:CR44826,19835081
173,FBgn0260775,DnaJ-60,37869
174,FBgn0259937,Nop60B,37873
175,FBgn0050161,CG30161,37945
176,FBgn0040666,CG12848,50139
177,FBgn0050428,CG30428,246608
178,FBgn0002564,Lsp1gamma,38015
179,FBgn0265704,lncRNA:CR44511,19836081
180,FBgn0025592,Gk1,43913
181,FBgn0085292,CG34263,5740488
182,FBgn0262451,mir-ban,12798547
183,FBgn0035149,MED30,38078
184,FBgn0035154,hiro,38083
185,FBgn0082973,snoRNA:Psi28S-3308,5740678
186,FBgn0260755,CG42553,38094
187,FBgn0035235,CG7879,38184
188,FBgn0035247,Mettl2,38197
189,FBgn0035249,CG17249,38201
190,FBgn0082944,snoRNA:Me28S-A2634c,5740639
191,FBgn0027903,PolD2,38228
192,FBgn0267478,asRNA:CR45828,26067156
193,FBgn0035335,mRpL23,38302
194,FBgn0052298,CG32298,317963
195,FBgn0052289,tRNA:Cys-GCA-1-2,3772561
196,FBgn0052287,tRNA:Cys-GCA-1-3,3772212
197,FBgn0035414,CG14965,38388
198,FBgn0047135,CG32276,251645
199,FBgn0035422,RpL28,38397
200,FBgn0052274,Drsl1,326207
201,FBgn0262260,mir-2282,12798578
202,FBgn0262484,CG43074,12798579
203,FBgn0003943,Ubi-p63E,38456
204,FBgn0035486,Gr64d,3772638
205,FBgn0028664,VhaM9.7-c,38503
206,FBgn0261952,srw,38525
207,FBgn0052240,CG32240,317933
208,FBgn0053777,CG33777,3772311
209,FBgn0040842,CG15212,50315
210,FBgn0035592,CG10674,38602
211,FBgn0265708,lncRNA:CR44515,19835049
212,FBgn0265711,lncRNA:CR44518,19834851
213,FBgn0047334,BG642312,4379909
214,FBgn0047205,lncRNA:CR32385,3772463
215,FBgn0028648,mRpL50,38796
216,FBgn0035754,MED4,38799
217,FBgn0035766,eco,38812
218,FBgn0015298,Srp19,38815
219,FBgn0052368,lncRNA:CR32368,317997
220,FBgn0052361,tRNA:Leu-CAG-1-5,3771969
221,FBgn0035896,CG6983,38964
222,FBgn0052039,Svip,317834
223,FBgn0001229,Hsp67Bc,39071
224,FBgn0035982,CG4461,39074
225,FBgn0035998,CG3437,39096
226,FBgn0044051,Ilp1,39149
227,FBgn0286833,CG46387,39877388
228,FBgn0085267,CG34238,5740238
229,FBgn0047038,ND-13B,39214
230,FBgn0036107,galla-2,39221
231,FBgn0083068,CG33947,26067039
232,FBgn0052072,Elo68alpha,317841
233,FBgn0052073,CG32073,326191
234,FBgn0265929,lncRNA:CR44718,19835872
235,FBgn0267232,lncRNA:CR45672,19835234
236,FBgn0036193,CG14135,39316
237,FBgn0053265,Muc68E,2768990
238,FBgn0085271,CG34242,5740417
239,FBgn0052109,CG32109,39444
240,FBgn0036336,ste14,39478
241,FBgn0040812,CG8750,50285
242,FBgn0036467,CG12310,39634
243,FBgn0053986,CG33986,3885638
244,FBgn0036532,CG13445,39719
245,FBgn0266724,Trs20,39769
246,FBgn0260388,CG42514,8674108
247,FBgn0267555,asRNA:CR45895,26067223
248,FBgn0025558,CG4101,39857
249,FBgn0011293,a10,39906
250,FBgn0262895,lncRNA:CR43250,19835793
251,FBgn0265760,lncRNA:CR44567,19835426
252,FBgn0036770,Prestin,39996
253,FBgn0259739,CG42393,7354474
254,FBgn0266937,lncRNA:CR45388,19835942
255,FBgn0085285,CG34256,5740297
256,FBgn0265886,lncRNA:CR44675,19836077
257,FBgn0036857,Aldh7A1,40097
258,FBgn0028380,fal,43927
259,FBgn0062928,hpRNA:CR33940,3771790
260,FBgn0020277,lush,40136
261,FBgn0014037,Su(Tpl),40171
262,FBgn0005633,fln,40185
263,FBgn0036948,CG7298,40210
264,FBgn0036970,Spn77Bc,40236
265,FBgn0261832,CG42764,10178963
266,FBgn0016696,Pitslre,40292
267,FBgn0037021,Pcif1,40295
268,FBgn0037065,CG12974,40350
269,FBgn0267617,asRNA:CR45955,26067282
270,FBgn0037166,CG11426,40471
271,FBgn0053770,CG33770,3772256
272,FBgn0037191,CG14448,40497
273,FBgn0037202,Ssl1,40509
274,FBgn0264492,CkIIalpha,48448
275,FBgn0053217,CG33217,2768951
